-DOCSTART- -X- -X- O

Ordered NNP B-NP O
biryani NN I-NP B-MENU
for IN B-PP O
tonight NN B-NP O
's POS B-NP O
supper NN I-NP O
. . O O

I PRP B-NP O
was VBD B-VP O
n't RB I-VP O
expecting VBG I-VP O
the DT B-NP O
best JJS I-NP O
biryani NN I-NP B-MENU
because IN B-PP O
of IN B-PP O
the DT B-NP O
location NN I-NP O
, , O O
I PRP B-NP O
need VBP B-VP O
a DT B-NP O
hot JJ I-NP O
plate NN I-NP O
of IN B-PP O
food NN B-NP O
good JJ I-NP O
food NN I-NP O
. . O O

That DT B-NP O
's VBZ B-VP O
it PRP B-NP O
. . O O
. . O O

Biryani NNP B-NP B-MENU
was VBD B-VP O
too RB I-VP O
dry JJ B-NP O
, , O O
raitha NN B-NP B-MENU
was VBD B-VP O
little JJ B-NP O
sour JJ I-NP O
so RB O O
ended VBD B-VP O
up RP O O
ordering VBG B-VP O
a DT B-NP O
side NN I-NP O
of IN B-PP O
butter NN B-NP B-MENU
masala NN I-NP I-MENU
to TO B-VP O
compensate VB I-VP O
the DT B-NP O
dryness NN I-NP O
in IN B-PP O
rice NN B-NP B-MENU
which WDT B-NP O
I PRP B-NP O
should MD B-VP O
have VB I-VP O
ordered VBN I-VP O
in IN B-PP O
first JJ B-NP O
place NN I-NP O
instead RB O O
of IN B-PP O
biryani NN B-NP B-MENU
. . O O

Chicken NNP B-NP B-MENU
peices NNS I-NP I-MENU
in IN B-PP O
biryani NN B-NP B-MENU
were VBD B-VP O
cold JJ B-NP O
, , O O
dish JJ B-NP O
not RB O O
heated VBN B-VP O
well RB I-VP O
. . O O

The DT B-NP O
three CD I-NP O
star NN I-NP O
rating NN I-NP O
is VBZ B-VP O
for IN B-PP O
service NN B-NP O
and CC O O
accommodating VBG B-VP O
my PRP$ B-NP O
needs NNS I-NP O
. . O O

Not RB O O
for IN B-PP O
foodDo NN B-NP O
not RB O O
order NN B-NP O
online NN I-NP O
! . O O

I PRP B-NP O
ordered VBD B-VP O
via IN B-PP O
their PRP$ B-NP O
website NN I-NP O
and CC O O
received VBD B-VP O
a DT B-NP O
confirmation NN I-NP O
number NN I-NP O
. . O O

Only RB O O
to TO B-VP O
find VB I-VP O
upon JJ B-NP O
arrival NN I-NP O
they PRP B-NP O
had VBD B-VP O
n't RB I-VP O
received VBN I-VP O
/ RB O O
prepared JJ B-NP O
my PRP$ I-NP O
order NN I-NP O
. . O O

Subway NN B-NP O
it PRP B-NP O
is VBZ B-VP O
Just JJ B-NP O
BAD NNP I-NP O
and CC O O
Gross NNP B-NP O
food NN I-NP O
. . O O

Should MD O O
be VB B-VP O
ashamed VBN I-VP O
to TO I-VP O
be VB I-VP O
putting VBG I-VP O
such JJ B-NP O
terrible JJ I-NP O
food NN I-NP O
out IN B-PP O
for IN B-PP O
public JJ B-NP O
to TO B-VP O
eat VB I-VP O
. . O O

No DT B-NP O
service NN I-NP O
at IN B-PP O
all DT B-NP O
! . O O

I PRP B-NP O
think VBP B-VP O
the DT B-NP O
place NN I-NP O
is VBZ B-VP O
now RB I-VP O
called VBN I-VP O
Taj NNP B-NP O
. . O O

Do VBP O O
n't RB O O
