,true_tokens,pred_tokens,t_labels,p_labels
0,Everything,Everything,O,O
1,was,was,O,O
2,bland,bland,O,O
3,",",",",O,O
4,boring,boring,O,O
5,a,a,O,O
6,mushy,mushy,O,O
7,.,.,O,O
8,A,A,O,O
9,lump,lump,O,O
10,of,of,O,O
11,potatoes,potatoes,O,O
12,or,or,O,O
13,rice,rice,B-MENU,O
14,",",",",O,O
15,topped,topped,O,O
16,with,with,O,O
17,an,an,O,O
18,uninspired,uninspired,O,O
19,chicken,chicken,O,O
20,or,or,O,O
21,fish,fish,B-MENU,B-MENU
22,",",",",O,O
23,with,with,O,O
24,.,.,O,O
25,.,.,O,O
26,.,.,O,O
27,are,are,O,O
28,you,you,O,O
29,ready,ready,O,O
30,for,for,O,O
31,this,this,O,O
32,.,.,O,O
33,.,.,O,O
34,.,.,O,O
35,coleslaw,coleslaw,O,B-MENU
36,!,!,O,O
37,!,!,O,O
38,Lol,Lol,O,O
39,!,!,O,O
40,Coleslaw,Coleslaw,O,O
41,",",",",O,O
42,the,the,O,O
43,kind,kind,O,O
44,you'd,you'd,O,O
45,find,find,O,O
46,at,at,O,O
47,St,St,O,O
48,Hubert,Hubert,O,O
49,the,the,O,O
50,chicken,chicken,O,O
51,place,place,O,O
52,.,.,O,O
53,Also,Also,O,O
54,topped,topped,O,O
55,with,with,O,O
56,corn,corn,O,O
57,.,.,O,O
58,At,At,O,O
59,an,an,O,O
60,Indian,Indian,O,O
61,restaurant,restaurant,O,O
62,.,.,O,O
63,Boring,Boring,O,O
64,",",",",O,O
65,tasteless,tasteless,O,O
66,corn,corn,O,O
67,.,.,O,O
68,Two,Two,O,O
69,bols,bols,O,O
70,and,and,O,O
71,a,a,O,O
72,couple,couple,O,O
73,of,of,O,O
74,samosas,samosas,B-MENU,B-MENU
75,were,were,O,O
76,like,like,O,O
77,$35,$35,O,O
78,.,.,O,O
79,Forget,Forget,O,O
80,that,that,O,O
81,!,!,O,O
82,If,If,O,O
83,the,the,O,O
84,food,food,O,O
85,wasn't,wasn't,O,O
86,bad,bad,O,O
87,enough,enough,O,O
88,",",",",O,O
89,they,they,O,O
90,were,were,O,O
91,blasting,blasting,O,O
92,Despasito,Despasito,O,O
93,and,and,O,O
94,other,other,O,O
95,similar,similar,O,O
96,crap,crap,O,O
97,on,on,O,O
98,the,the,O,O
99,radio,radio,O,O
100,super,super,O,O
101,loud,loud,O,O
102,.,.,O,O
